StoryID,HackernewsScore,Title,URL
23333185,19,White House organizes harassment of Twitter employee as Trump threatens company,https://www.theverge.com/2020/5/27/21272210/trump-twitter-fact-check-admin-targeting-employee-voter-fraud-controversy
23333341,11,What science can tell us about C and C++'s security,https://alexgaynor.net/2020/may/27/science-on-memory-unsafety-and-security/
23333398,3,Is the Breakthrough Advertising book worth $400?,https://capitalandgrowth.org/answers/2980858/Is-the-Breakthrough-Advertising-book-worth-400
23333462,59,The 'war tubas' we used to spot warplanes before radar (2018),https://edition.cnn.com/style/article/war-sound-locators-before-radar/index.html
23333496,172,Draft of Executive Order on Online Censorship [pdf],https://kateklonick.com/wp-content/uploads/2020/05/DRAFT-EO-Preventing-Online-Censorship.pdf
23333524,22,Zuckerberg Says Twitter Is Wrong to Fact-Check Trump,https://www.newsweek.com/zuckerberg-says-twitter-wrong-fact-check-trump-1506958
23333530,64,Jack Dorsey explains why Twitter fact-checked Trump’s false voting claims,https://techcrunch.com/2020/05/27/twitter-vs-trump-fact-checking-dorsey/
23333557,16,Facebook reportedly had evidence that its algorithms were dividing people,https://www.businessinsider.in/tech/news/facebook-reportedly-had-evidence-its-algorithms-were-dividing-people-but-top-executives-killed-or-weakened-proposed-solutions/articleshow/76014781.cms
23333659,7,What annoys you during online courses,
23333669,4,Windows 10 Media Creation Tool 2004 (download/install May 2020 Update),https://software-download.microsoft.com/download/pr/MediaCreationTool2004.exe
23333719,3,Create install media for Windows 10 May 2020 Update,https://www.microsoft.com/en-us/software-download/windows10
23333733,48,Good idea bad implementation crosstalk,https://flak.tedunangst.com/post/good-idea-bad-implementation-crosstalk
23333805,156,Alterations in glutamate and the experience of ego dissolution with psilocybin,https://www.nature.com/articles/s41386-020-0718-8
23333853,133,REPL Driven Design,http://blog.cleancoder.com/uncle-bob/2020/05/27/ReplDrivenDesign.html
23333865,3,Show HN: wasm-mt – A multithreading library for Rust and WebAssembly,https://github.com/w3reality/wasm-mt
23333885,4,How to find toilet papers using headless browsers?,https://medium.com/0browser/how-to-find-toilet-papers-using-headless-browsers-e0db9ddf51f2
23333891,368,The use of `class` for things that should be simple free functions,https://quuxplusone.github.io/blog/2020/05/28/oo-antipattern/
23333937,22,"Trump, Furious at Twitter, Aims Executive Order at Tech Giants",https://www.bloomberg.com/news/articles/2020-05-28/trump-furious-at-twitter-aims-executive-order-at-tech-giants
23333955,107,Pros and Cons of Nim,https://onlinetechinfo.com/pros-and-cons-of-nim/
23333972,5,Typographical Printing-Surfaces (1916),https://archive.org/details/LegrosGrantTypographicalPrintingSurfaces1916
23334006,26,Executive Order Is Expected to Curtail Protections for Social Media Companies,https://www.nytimes.com/2020/05/28/us/politics/trump-executive-order-social-media.html
23334037,156,"Landlord-friendly, self-install solar and battery kit",https://sunboxlabs.com/solar-kit/
23334065,21,Did George Washington Use Ketchup? (2012),https://savoringthepast.net/2012/08/01/did-george-washington-use-ketchup/
23334089,16,Using genomics to help avoid a second coronavirus wave,https://www.nature.com/articles/d41586-020-01573-5
23334188,9,Show HN: Neatly – A simple way for teams to find their important shared files,https://useneatly.com/
23334190,319,Micro: Modern and intuitive terminal-based text editor,https://micro-editor.github.io/
23334339,522,The Vintage Beauty of Soviet Control Rooms (2018),https://designyoutrust.com/2018/01/vintage-beauty-soviet-control-rooms/
23334345,329,8GB Raspberry Pi 4 on sale now at $75,https://www.raspberrypi.org/blog/8gb-raspberry-pi-4-on-sale-now-at-75/
